Ticker,Market Cap,Div,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Profit M,Earnings,Price,Change,Volume
MORL,-,20.41%,-,-,-,-,-,-,-,-,-,-,-,14.55,0.36%
NNA,58.75M,20.25%,-4.10%,-14.30%,2.30%,1.00,1.00,2.41,2.53,83.90%,-2.70%,-33.10%,Nov 01,0.41,3.80%
VOC,75.90M,19.69%,11.00%,11.00%,10.80%,-,-,0.00,0.00,-,90.50%,91.50%,Nov 08,4.44,-0.67%
CLRO,12.42M,18.67%,-25.20%,-29.40%,-20.00%,5.10,2.60,0.00,0.00,54.60%,-58.20%,-49.60%,Nov 07/a,1.50,0.00%
GOV,1.03B,18.36%,0.80%,2.20%,1.50%,-,-,1.67,1.67,67.60%,11.50%,7.30%,Nov 01/b,8.91,-4.91%
PEX,-,18.24%,-,-,-,-,-,-,-,-,-,-,-,33.96,-0.25%
SMHD,-,17.91%,-,-,-,-,-,-,-,-,-,-,-,16.29,0.60%
NAP,60.96M,17.86%,-3.90%,-7.30%,6.50%,7.00,7.00,0.91,0.91,93.40%,35.60%,-20.40%,Nov 08/b,2.96,5.71%
AI,248.95M,17.61%,-1.00%,-13.00%,0.40%,-,-,0.25,12.82,8.10%,-,-55.90%,Oct 23/a,8.50,-0.23%
CEFL,-,17.55%,-,-,-,-,-,-,-,-,-,-,-,13.92,0.16%
AMJL,-,17.48%,-,-,-,-,-,-,-,-,-,-,-,15.44,-0.09%
SNR,458.11M,17.07%,-1.30%,-7.10%,-2.30%,5.50,5.50,4.75,4.75,74.30%,-17.80%,-7.80%,Nov 01/b,5.33,0.00%
BPT,673.32M,17.01%,-,-,9628.50%,-,-,0.00,0.00,-,98.50%,98.60%,Nov 08,31.49,1.25%
NDP,-,16.67%,-,-,-,-,-,-,-,-,-,-,-,10.40,-0.95%
DRAD,29.63M,16.54%,-39.90%,-77.90%,-47.30%,1.70,1.20,0.42,0.00,21.80%,-4.60%,-24.20%,Nov 02/b,1.22,-8.27%
MVO,114.84M,16.44%,64.40%,64.40%,48.70%,-,-,0.00,0.00,-,92.00%,92.80%,Nov 08,9.88,-2.18%
MN,35.15M,16.16%,1.00%,1.30%,32.00%,4.40,4.40,0.00,0.00,-,19.20%,1.10%,Oct 30/a,2.02,2.02%
CCLP,195.91M,16.09%,-5.40%,-49.50%,-0.10%,2.30,1.50,9.48,9.48,33.40%,2.50%,-12.70%,Nov 07/b,4.63,-0.64%
NGL,1.27B,16.08%,-3.90%,-13.60%,2.40%,2.00,1.50,1.74,1.74,2.60%,0.00%,-1.30%,Nov 08/b,10.02,3.30%
GMLP,1.05B,15.74%,3.60%,14.30%,10.50%,0.50,0.50,2.04,2.54,78.40%,44.20%,23.60%,Aug 23,14.75,0.48%
CGA,26.30M,15.63%,-1.40%,-1.70%,5.70%,4.90,4.30,0.02,0.03,25.80%,10.40%,-2.40%,Nov 14/b,0.65,1.58%
CHKR,76.66M,15.43%,45.40%,45.70%,48.20%,-,-,0.00,0.00,94.90%,84.80%,85.10%,Nov 07/b,1.66,2.47%
SDR,58.21M,15.38%,23.10%,23.10%,24.80%,-,-,0.00,0.00,94.20%,72.10%,71.90%,Nov 06,1.25,6.84%
WPG,1.24B,15.36%,1.70%,8.80%,9.40%,-,-,3.86,3.86,67.90%,32.50%,10.30%,Oct 24/a,6.45,-0.84%
SDT,33.84M,15.32%,17.60%,17.60%,20.50%,-,-,0.00,0.00,88.60%,63.20%,64.10%,Nov 06/a,1.28,3.23%
EDI,-,15.31%,-,-,-,-,-,-,-,-,-,-,-,11.92,0.85%
OXLC,352.31M,15.14%,-,-,-,-,-,-,-,-,-,-,Nov 06/b,10.49,-1.96%
BCRH,69.09M,15.09%,-26.50%,-38.80%,-34.00%,-,-,0.00,0.00,-,-,-,Oct 29,8.11,2.01%
ROYT,99.42M,15.04%,3.50%,3.50%,2.00%,-,-,0.00,0.00,-,77.00%,76.80%,Oct 29,2.21,-2.21%
BGFV,85.51M,15.04%,-1.90%,-4.50%,3.50%,2.20,0.20,0.52,0.53,31.20%,0.20%,-0.90%,Oct 30/a,4.12,3.26%
LBDC,-,15.02%,-,-,-,-,-,-,-,-,-,-,-,14.27,1.57%
PVL,88.40M,14.98%,49.90%,49.90%,47.50%,-,-,0.00,0.00,-,98.20%,98.40%,Nov 02,2.65,-0.75%
MDLY,157.53M,14.98%,-2.00%,26.80%,20.10%,-,-,-,-,-,26.00%,-3.60%,Nov 13/b,5.35,0.19%
AVH,216.96M,14.98%,-0.10%,-0.30%,5.30%,0.50,0.50,2.88,3.37,44.90%,5.60%,-0.10%,Nov 13/a,5.26,2.33%
BPL,5.05B,14.94%,4.40%,9.50%,7.20%,1.00,0.70,1.02,1.06,41.20%,16.40%,11.20%,Nov 02/b,33.92,0.31%
BDCL,-,14.93%,-,-,-,-,-,-,-,-,-,-,-,14.14,-0.94%
SMRT,105.50M,14.93%,-1.80%,-17.00%,-8.40%,1.10,0.20,0.87,3.10,26.90%,-0.60%,-0.70%,Nov 21/a,2.13,5.97%
MLPQ,-,14.91%,-,-,-,-,-,-,-,-,-,-,-,28.62,-1.44%
MMLP,542.96M,14.79%,4.70%,27.00%,5.40%,2.30,1.00,99.81,99.81,30.20%,5.60%,5.50%,Oct 24/a,13.40,-0.89%
RIV,-,14.74%,-,-,-,-,-,-,-,-,-,-,-,17.11,0.06%
CHW,459.07M,14.65%,-,-,-,-,-,-,-,-,-,-,-,7.69,-1.16%
ECT,31.88M,14.61%,9.00%,9.20%,11.20%,-,-,0.00,0.00,-,79.00%,79.50%,Nov 08/b,1.78,-0.01%
ORC,360.62M,14.55%,-0.40%,-3.90%,0.10%,-,-,0.00,8.43,-0.60%,-26.20%,-26.30%,Oct 25/a,6.59,-0.15%
BKEP,88.84M,14.55%,-2.70%,-2.10%,3.80%,1.00,1.00,0.80,0.80,77.10%,12.90%,-4.30%,Oct 31/a,2.12,-3.64%
FPL,-,14.52%,-,-,-,-,-,-,-,-,-,-,-,8.51,-2.01%
GGN,568.48M,14.32%,-,-,-,-,-,-,-,-,-,-,-,4.20,0.30%
SMLP,1.21B,14.27%,-0.10%,-0.20%,-2.10%,1.10,1.10,1.26,1.26,64.00%,-7.80%,-0.40%,Nov 08/a,15.98,-0.84%
USAC,1.39B,14.24%,-1.00%,-3.40%,-,1.40,0.90,1.11,1.11,63.40%,7.10%,-5.90%,Nov 06/b,14.82,0.47%
ECC,363.25M,14.10%,-,-,-,-,-,-,-,-,-,-,Nov 13/b,17.06,0.23%
GARS,127.92M,14.09%,3.10%,7.00%,4.10%,-,-,1.29,1.29,59.30%,46.10%,33.80%,Nov 06/a,8.02,0.87%
TCRD,251.26M,14.04%,-,-,-,-,-,-,-,-,-,-,Nov 07/a,7.67,-0.26%
EARN,134.93M,14.03%,0.30%,2.70%,1.40%,-,-,0.00,8.82,41.70%,38.90%,9.30%,Nov 08/a,10.49,-0.57%
IFN,563.90M,13.92%,-,-,-,-,-,-,-,-,-,-,-,20.97,2.79%
DVHL,-,13.84%,-,-,-,-,-,-,-,-,-,-,-,17.69,-0.08%
